sbu_id,first_name,last_name,email,department,track,entry_semester,entry_year,requirement_version_semester,requirement_version_year,graduation_semester,graduation_year,password
825074746,Adam,Bullock,adambullock@stonybrook.edu,CSE,Advanced Project,Spring,2019,Spring,2020,Fall,2020,2d7d04f3d284898abdc84748163dbfef6c5b3b02500530b464a9a298a48ab3b0
194075709,Rachel,Rivera,rachelrivera@stonybrook.edu,AMS,Operations Research,Fall,2021,Fall,2021,Spring,2023,084047bb5ebed3446824a380b58dfbd2166e2856a9d49a6eb4f65fb034aad553
711560238,Michelle,Brzozowski,michellebrzozowski@stonybrook.edu,AMS,Computational Applied Mathematics,Spring,2020,Fall,2020,Fall,2021,a16d56cec70b6adb37fa98b87b1c60f226ddc4ba59cba010a5370fff3b816221
296739083,Michael,Stitt,michaelstitt@stonybrook.edu,CSE,Special Project,Fall,2020,Fall,2020,Spring,2022,da58e017411955d5d3c7ea7ec575dc8a2f6a67e5b548fe7b21aca0159c5a428a
621420022,Allan,Harris,allanharris@stonybrook.edu,ESE,Non-Thesis,Fall,2019,Spring,2021,Spring,2021,38894b999c6ade8d042d633a0a788412a35ebe80fa2b561c97dce021ad20924e
616259429,Steven,Miller,stevenmiller@stonybrook.edu,ESE,Thesis,Spring,2020,Fall,2020,Fall,2021,bffaed9fbee035814688a4a5099a75a46ba79071b6f29e850a8adb3fef3bc4f0
221565120,Kenneth,Bates,kennethbates@stonybrook.edu,AMS,Computational Biology,Fall,2019,Fall,2019,Spring,2021,46f9fc0518d7388a265a0fdaeb770c23d1e1353c45a944639241e894c4995b96
601266711,Raymond,Schaefer,raymondschaefer@stonybrook.edu,CSE,Advanced Project,Fall,2021,Fall,2021,Spring,2023,66ce95b743a70187520c9496826e072378394d7de04f5ed3eb76b0c0a4e1e119
192948857,David,Fenske,davidfenske@stonybrook.edu,ESE,Thesis,Fall,2019,Spring,2021,Spring,2021,e9beb12bd85a1316d5e2cd614349e1c04157dda96400e72b45525b1acafe7204
904472805,Irene,Daughtrey,irenedaughtrey@stonybrook.edu,ESE,Thesis,Spring,2021,Spring,2021,Fall,2022,fe4962eb8623773495d5480a1bb17cd1655abe76130bd79c8d34e9f913c6f4bf
860219810,Joshua,Garcia,joshuagarcia@stonybrook.edu,ESE,Non-Thesis,Spring,2021,Fall,2021,Fall,2022,3867370ed4b77d7e770dabda64669e6f77bfa38d6a9d631e42cbe54160afd0d0
603237892,Wayne,Duffey,wayneduffey@stonybrook.edu,CSE,Thesis,Spring,2019,Fall,2019,Fall,2020,f2e513c4c5b18efbbbf8a0f89398e3ad93d5ab33c1c59fd4d0c52e070eb11f4c
507643816,Ardell,Sudduth,ardellsudduth@stonybrook.edu,AMS,Statistics,Fall,2019,Fall,2019,Spring,2021,3a27055c436ad28a5ea6d21ec19ad37fee858d6b81d4308b9bb1ed2d65e39488
656782655,David,Farley,davidfarley@stonybrook.edu,BMI,Imaging Informatics With Project,Fall,2021,Fall,2021,Spring,2023,a7340e469cdc30f34ca9af85e5f8443c54281c996ac6f9064988502b6d8536cb
386792193,Peter,Mcdonald,petermcdonald@stonybrook.edu,CSE,Special Project,Spring,2021,Fall,2021,Fall,2022,8bfc4cf5fc35f2d7b51dd4002b6e2a2190992f47bd5c2c210b1c876c17e4ff3a
658951293,Julio,Cantell,juliocantell@stonybrook.edu,CSE,Special Project,Spring,2021,Fall,2021,Fall,2022,52307c177ccf549b7f31476a22a770e98f020d18835fa87f1776617dd6c55d91
311593553,Thomas,Fuller,thomasfuller@stonybrook.edu,AMS,Computational Applied Mathematics,Spring,2021,Fall,2021,Fall,2022,5e230647564bbfbc911606f939e72887b445537e4b2cbb306968297e965100f1
224820216,Mark,Gomez,markgomez@stonybrook.edu,ESE,Thesis,Spring,2019,Spring,2021,Fall,2020,fc5a707a4ed6cfc37f70c1c434a10112b1b56c6d7a1e0b915cd0070a6dd2f219
734697676,Whitney,Winston,whitneywinston@stonybrook.edu,BMI,Clinical Informatics With Thesis,Spring,2021,Spring,2021,Fall,2022,4fccc6417596cafa0bf9d6a2b8e39404e10cf7c17e66a9fdcb8413ca2569166b
488784734,Alan,Ratliff,alanratliff@stonybrook.edu,ESE,Thesis,Fall,2021,Fall,2021,Spring,2023,a7020eba12ca1377abc931dda9c295c5ba9e45eb592ef9428c3488bafb4d1a82
649167725,Yvonne,Hill,yvonnehill@stonybrook.edu,AMS,Quantitative Finance,Fall,2020,Spring,2021,Spring,2022,c74edd60cc73fd59d6d87d745437e163e25bce9ca9ed89d85f6c5fbe1fc24ec4
103151215,David,Nelson,davidnelson@stonybrook.edu,ESE,Non-Thesis,Fall,2019,Fall,2021,Spring,2021,74d120152974978acd06d046b8568f8759e2c6acb9242f32cbed18561a2e0c4a
851763084,Laura,Niebuhr,lauraniebuhr@stonybrook.edu,ESE,Thesis,Spring,2020,Spring,2021,Fall,2021,0a96a2d50f3285647b8c990e8bf6d4c138c7937c1dcce9aa19884c0f9b02ca22
151156686,Ryan,Llewellyn,ryanllewellyn@stonybrook.edu,ESE,Non-Thesis,Fall,2020,Fall,2021,Spring,2022,8f3d911a1f72157cec21b30076c9d87909652c612c2c589efd8712fc6e87c849
764822608,Peggy,Hirsch,peggyhirsch@stonybrook.edu,BMI,Translational Bioinformatics With Thesis,Fall,2019,Fall,2019,Spring,2021,4e34eefa6926f9d6a02486c90b845c76038c48fc4fdd509d90b6aa19a0edd918
976606309,Sharen,Young,sharenyoung@stonybrook.edu,CSE,Advanced Project,Fall,2020,Fall,2021,Spring,2022,22f7c5ac6c4ecb9813bee68f13568459b4cd99075f9b4814e598be13f27ca212
653682214,Betty,Mendoza,bettymendoza@stonybrook.edu,ESE,Non-Thesis,Fall,2020,Fall,2020,Spring,2022,130a2ea8c350b62a12ab325f7d586f3a6afdd0bc45d96a24e5c503063a43a4e6
130766642,Frances,Mcmanus,francesmcmanus@stonybrook.edu,CSE,Advanced Project,Fall,2020,Spring,2021,Spring,2022,16c87cccd72386c4f8cb5f7ca5bfbbc76634edc7a94a18f9bcb55cd8f7734d44
719930219,Robert,Utz,robertutz@stonybrook.edu,CSE,Advanced Project,Spring,2020,Spring,2020,Fall,2021,c15ce95258fb1b33484fabf6e66f860c73d980ba2b29530ced1fb9543b66368c
980631411,Gregory,Bellanger,gregorybellanger@stonybrook.edu,CSE,Special Project,Spring,2021,Fall,2021,Fall,2022,99fa73635ca82301c7fbf68547f03b141fd179fa411182939a945f5019e4d4bc
925885695,Ramiro,Begay,ramirobegay@stonybrook.edu,BMI,Clinical Informatics With Thesis,Fall,2019,Fall,2021,Spring,2021,af381ee037e651fd0fef3a986a3c5108b26e7c1ba70db8cdf51d4a4aeccfce42
784126475,Tonya,Evans,tonyaevans@stonybrook.edu,CSE,Thesis,Spring,2019,Fall,2020,Fall,2020,f005dfb487a50812a332ffd0bfa024932b61c865fe2dbbf5220ceee20b0b5e02
387199414,Christine,Pompi,christinepompi@stonybrook.edu,CSE,Special Project,Spring,2019,Fall,2019,Fall,2020,5a5782903556ee9b316f73745b6afbdfc214cc510b14eda55b785cdd671f44b7
799973388,Olive,Spencer,olivespencer@stonybrook.edu,AMS,Quantitative Finance,Fall,2020,Spring,2021,Spring,2022,837a8c88ed808a77fe2562c77acce5428d17b036cbd11be846d1f33deddec063
468822885,Randy,Hendren,randyhendren@stonybrook.edu,AMS,Quantitative Finance,Spring,2020,Spring,2021,Fall,2021,d150339e529848e40df4b3a9d9d955dcf8cd397229cd9887b98e9e027f2bdee0
862015237,Stuart,Vacca,stuartvacca@stonybrook.edu,AMS,Quantitative Finance,Fall,2019,Fall,2020,Spring,2021,32438c120ffb62611ab5d15055b9b4173bccf907e78502e61d21ddf324130684
815476721,Alfredo,Batchelder,alfredobatchelder@stonybrook.edu,BMI,Imaging Informatics With Thesis,Fall,2019,Fall,2020,Spring,2021,7e423a5cf47ff6e39e321043de9a99ba5eedbffd7626ebfbfcf70a9b95947acf
526116176,Barbara,Dardy,barbaradardy@stonybrook.edu,AMS,Quantitative Finance,Spring,2020,Fall,2020,Fall,2021,72fd6c8c5fddec5a0880a2986e06f20c90458881a585ed75eab9b28b0d899037
981453272,Luis,Starkey,luisstarkey@stonybrook.edu,AMS,Computational Biology,Spring,2021,Fall,2021,Fall,2022,a285d0bc428793debc852661a29af254e08a63ac7bbcb973dc25f9dd55ae07fe
426809692,Maria,Alley,mariaalley@stonybrook.edu,ESE,Thesis,Fall,2021,Fall,2021,Spring,2023,e6179687fd48503dfe7b6081446dc83509c26c75c8343fc9ff3a9460286f37ff
947788511,William,Mire,williammire@stonybrook.edu,AMS,Statistics,Spring,2019,Fall,2019,Fall,2020,c96b4f5a34543d7f1b13ac453d490f3e15fa509d3a2e43a9153e3284ef75ffa6
252421159,Angelita,Perry,angelitaperry@stonybrook.edu,CSE,Advanced Project,Spring,2021,Spring,2021,Fall,2022,d56bdc6a10a3d4b98598f6b47fdcee6b9a83564987c260bc3a200558cf948cb6
680588278,Gregory,March,gregorymarch@stonybrook.edu,ESE,Non-Thesis,Fall,2021,Fall,2021,Spring,2023,e6b0ca06302e6f7d133b5a7ab0d46d9b81165f7145c76b75a8c2a3a23d0496d7
177366653,Linda,Burnham,lindaburnham@stonybrook.edu,CSE,Special Project,Spring,2021,Spring,2021,Fall,2022,52b3c91c3335ae3e3a9395a0e199de83ae5da680f5deee9488f753dacc91f8e6
605686569,Robert,Price,robertprice@stonybrook.edu,ESE,Thesis,Spring,2021,Fall,2021,Fall,2022,64c57eef1fd1b9407c43a884e5fa3dc744331699e8fb2051a04f61a9211c34fd
228554673,Gregory,Morton,gregorymorton@stonybrook.edu,ESE,Non-Thesis,Fall,2020,Spring,2021,Spring,2022,f810fb13dd8232ee6e207e7037dc8d747ac2aebf79a6f448e8d3859641fc35d0
591760743,Betty,Brown,bettybrown@stonybrook.edu,AMS,Operations Research,Spring,2021,Fall,2021,Fall,2022,366b93f80ebc623dfd6b8ad096d7ed5e7b6b75e6f96094b4416467fca09f42e9
166542255,Nicholas,Woodlock,nicholaswoodlock@stonybrook.edu,ESE,Thesis,Spring,2021,Fall,2021,Fall,2022,146640d85efde5414f3a1c0d3f8335095382dc4a300095716bbb53d2ded0625a
641910108,Stephenie,Folwell,stepheniefolwell@stonybrook.edu,ESE,Thesis,Fall,2019,Fall,2019,Spring,2021,7514fe876e0e9aee1882105fe229b89aa77fe28d698ca1eac1ab49b7caf8e6ef
539303946,Lindsay,Sake,lindsaysake@stonybrook.edu,BMI,Translational Bioinformatics With Thesis,Fall,2019,Fall,2019,Spring,2021,c47ec1c215c4300f4fd3d260cbf029e8cb24dbab28c83bff47e8a3e13ea43055
