sbu_id,department,course_num,section,semester,year,grade
442522286,CSE,506,1.0,Spring,2021,B+
442522286,CSE,528,2.0,Spring,2021,C
442522286,CSE,522,1.0,Spring,2021,B-
442522286,CSE,551,1.0,Spring,2021,A
213353572,CSE,544,1.0,Spring,2021,B
512776214,CSE,528,2.0,Spring,2021,C+
512776214,CSE,551,1.0,Spring,2021,A-
512776214,CSE,525,1.0,Spring,2021,B-
613200341,CSE,564,1.0,Spring,2021,C
613200341,CSE,522,1.0,Spring,2021,B+
613200341,CSE,551,1.0,Spring,2021,A
613200341,CSE,525,2.0,Spring,2021,C+
228125039,CSE,527,1.0,Spring,2021,A-
228125039,CSE,510,1.0,Spring,2021,B
428295229,CSE,510,1.0,Spring,2021,B
428295229,CSE,551,1.0,Spring,2021,B
428295229,CSE,525,1.0,Spring,2021,A
121336545,CSE,510,2.0,Spring,2021,C
121336545,CSE,599,1.0,Spring,2021,C+
121336545,CSE,532,2.0,Spring,2021,C+
121336545,CSE,525,1.0,Spring,2021,B
925028044,CSE,510,1.0,Spring,2021,C+
925028044,CSE,544,2.0,Spring,2021,B
833459818,CSE,506,1.0,Spring,2021,B
833459818,CSE,548,1.0,Spring,2021,C+
833459818,CSE,527,2.0,Spring,2021,B
539431375,CSE,510,1.0,Spring,2021,B+
539431375,CSE,551,1.0,Spring,2021,C+
539431375,CSE,544,1.0,Spring,2021,B-
231504236,CSE,525,2.0,Spring,2021,B-
231504236,CSE,551,1.0,Spring,2021,C+
231504236,CSE,510,2.0,Spring,2021,B-
938329032,CSE,548,1.0,Spring,2021,A-
186012470,CSE,548,1.0,Spring,2021,B
409331712,CSE,510,2.0,Spring,2021,A-
409331712,CSE,544,2.0,Spring,2021,C+
409331712,CSE,526,2.0,Spring,2021,B
210622272,CSE,522,1.0,Spring,2021,A-
210622272,CSE,564,1.0,Spring,2021,B+
210622272,CSE,525,2.0,Spring,2021,C
210622272,CSE,551,1.0,Spring,2021,A-
522524347,CSE,551,1.0,Spring,2021,C+
522524347,CSE,512,2.0,Spring,2021,C
522524347,CSE,508,3.0,Spring,2021,A
522524347,CSE,599,1.0,Spring,2021,C+
367241723,CSE,526,1.0,Spring,2021,A-
367241723,CSE,525,1.0,Spring,2021,A-
