sbu_id,first_name,last_name,email,department,track,entry_semester,entry_year,requirement_version_semester,requirement_version_year,graduation_semester,graduation_year,password
795078138,Erica,Blandon,ericablandon@stonybrook.edu,BMI,Imaging Informatics With Project,Spring,2021,Fall,2021,Fall,2022,$2b$12$JgGeGfgtATEeNcyF3anzvu2aTuYeyYCmCqF3kDe70nE9hZ95cUJ4C
627405725,Keesha,Bones,keeshabones@stonybrook.edu,ESE,Thesis,Spring,2020,Fall,2020,Fall,2021,$2b$12$xvNylR5Sv.Dv9NpKUZnSZu1TIg3.PrWuDew8HRywNPINQFdlOoBYC
329834741,Lisa,Ingram,lisaingram@stonybrook.edu,CSE,Special Project,Spring,2019,Fall,2019,Fall,2020,$2b$12$gvOhwU1as9X/nVuXcPq.XOQdWXZOTsf3c7eFyjYQC2kKlpyh8nUHq
324700169,Andrew,Lewis,andrewlewis@stonybrook.edu,ESE,Non-thesis,Fall,2019,Fall,2019,Spring,2021,$2b$12$CAOX4AIv/NOQqkYdQo3sJ.UPOnl5UBYSdRTaWNoepuxb9vDPFuR0.
314097991,David,Hudson,davidhudson@stonybrook.edu,ESE,Thesis,Spring,2021,Spring,2021,Fall,2022,$2b$12$.OZPOdBjKvTTsk1N5Zl6X.4DGc7KfGDk9ukl8IJse8k03m5XoVSl2
449247413,Jimmy,Gagner,jimmygagner@stonybrook.edu,ESE,Non-thesis,Fall,2019,Fall,2019,Spring,2021,$2b$12$cbFryt8gvtdostrYRoSsfey66dtQIpg1QTwmGGpChrii7ACHzyzha
877593526,Greg,Whicker,gregwhicker@stonybrook.edu,BMI,Translational Bioinformatics With Thesis,Spring,2018,Spring,2019,Fall,2019,$2b$12$Sk.VmMo1wnpXidsAXMSE7.aoGco1t3LJiY1LkxM5p3g5G6ByID2Uu
507117600,Charles,Shaw,charlesshaw@stonybrook.edu,AMS,Statistics,Spring,2018,Spring,2019,Fall,2019,$2b$12$XbA0WzbtNcEWt4B/ewo8.e8CsWDFLVM7Pqa3ydzgD0gZXOVkxvvYu
862582068,Terry,Sealy,terrysealy@stonybrook.edu,ESE,Non-thesis,Fall,2018,Fall,2019,Spring,2020,$2b$12$Q3NU4enpTORd0wn0hO/Tc.IQwEtVlH/jd419GDw948S7U9gizSXGi
282889245,James,Barahona,jamesbarahona@stonybrook.edu,AMS,Operations Research,Spring,2018,Spring,2019,Fall,2019,$2b$12$ApnON1h3SBtCFwxkGrtKjeEuU1.VN9zJqXkT8GBy1iuOtyNKkvVha
540983781,Tracy,Dilley,tracydilley@stonybrook.edu,ESE,Non-thesis,Fall,2018,Fall,2019,Spring,2020,$2b$12$MRZqa7K8niuetscvfJNdDOBN6ZR2zflQkAhzhk5LbZ2KlyqCs.Ad2
910914023,John,Langley,johnlangley@stonybrook.edu,BMI,Clinical Informatics With Project,Spring,2020,Fall,2020,Fall,2021,$2b$12$95F3TPu3rsvW7OtKM.lPueYgHnr6.XRN17Ih/gBHpaFqvmKCEEtbi
372151506,Adam,Slemmons,adamslemmons@stonybrook.edu,CSE,Thesis,Spring,2020,Spring,2021,Fall,2021,$2b$12$nXSrsefzeCzLGZ4j7iaqJ.tfUI4jIi5xIt5sTJ8spQjEK/UPAG2tG
229852025,Emma,Dias,emmadias@stonybrook.edu,AMS,Quantitative Finance,Spring,2018,Spring,2018,Fall,2019,$2b$12$nVQakT8F/AuDYFU2EWNoJ.dKwvRhNJ8anHkeNtZ8C/ZAe7RRgRjeK
789842982,Jaime,Perrin,jaimeperrin@stonybrook.edu,ESE,Non-thesis,Fall,2019,Spring,2020,Spring,2021,$2b$12$PGI9V2YxsmoXNc498dUjpO7CWlmJYL7bApQKYf49L2Y1iEu1Wij3K
559904742,Hazel,Meek,hazelmeek@stonybrook.edu,ESE,Non-thesis,Fall,2019,Fall,2020,Spring,2021,$2b$12$iILdesga0usB1EvKcFZ3deohqh.mKH477B0XMd8tLxwnd2Ib1YPem
139722458,Alicia,Diaz,aliciadiaz@stonybrook.edu,ESE,Thesis,Spring,2021,Spring,2021,Fall,2022,$2b$12$7MB//4/KQZx9z3T5/aPYoOiOq0cTD5WXRnNOUiuVdpc.LFB6ywK02
834131575,Rachel,Honahni,rachelhonahni@stonybrook.edu,CSE,Advanced Project Proficiency,Fall,2020,Fall,2020,Spring,2022,$2b$12$Yzccc5fr8NaDRasRcFHlMuLhXm/Dyp9MNQvwe0M4N5dfXFOCVVcAW
381550362,Megan,Downey,megandowney@stonybrook.edu,BMI,Imaging Informatics With Thesis,Spring,2018,Fall,2018,Fall,2019,$2b$12$Zvzg95LJazniKmpjq.3hwOKqqUpcNHiCFtut6SZhsfAuxAn6cPGmS
236715518,Angel,Mashburn,angelmashburn@stonybrook.edu,BMI,Translational Bioinformatics With Thesis,Fall,2020,Fall,2021,Spring,2022,$2b$12$h.IMWUpelWQN9Wq74amtm.P3DXGwAjWyuNZATpnxjNb6Fk.1cCBX2
679163851,Lucille,Sarro,lucillesarro@stonybrook.edu,ESE,Non-thesis,Fall,2019,Fall,2019,Spring,2021,$2b$12$1kMTz1FqbiIpMsrMYXicFehuEDigkQybWdXhNvpzV6L3T9Z5bGiK2
260835986,Keith,Green,keithgreen@stonybrook.edu,BMI,Imaging Informatics With Project,Fall,2020,Fall,2020,Spring,2022,$2b$12$4Zf/EDukug0VINvbe1ibneMcEul7rIj5kY7eFv.vuEdhlyvMIpSuK
832150178,Danny,Flores,dannyflores@stonybrook.edu,ESE,Thesis,Spring,2019,Fall,2019,Fall,2020,$2b$12$jPHL3GYxHDF.JWU4jFghC.do.2L0Vnzj1gveWZh/u7kWbVocyglB.
745358720,Brian,Shank,brianshank@stonybrook.edu,ESE,Non-thesis,Spring,2020,Fall,2020,Fall,2021,$2b$12$ILdJuj9e4X5CIqFLGc141evOcHTd0ad09xba3IzbmkRBLqCyWTNti
481700839,Catherine,Novack,catherinenovack@stonybrook.edu,CSE,Thesis,Spring,2021,Spring,2022,Fall,2022,$2b$12$6ZLuJv/uT8pk3vHLq/up/.p5Ci4L4IBEbgJJlZYTGpckDuihXAB1u
618823280,Tiffany,Brandenburg,tiffanybrandenburg@stonybrook.edu,ESE,Thesis,Spring,2020,Spring,2020,Fall,2021,$2b$12$HBDvuQXk.jSmcycPTuhH5uu3DChyYWOW2O.hAEwCmMe3FFQJuKU3e
634427227,Phillip,Foster,phillipfoster@stonybrook.edu,BMI,Clinical Informatics With Thesis,Fall,2018,Spring,2019,Spring,2020,$2b$12$8n5E260YU1OnNEsW5BEvpuqtb9l14OBoTjQ612U1S423YjJ1y/1Di
644596429,Rosario,Harris,rosarioharris@stonybrook.edu,CSE,Special Project,Spring,2020,Spring,2020,Fall,2021,$2b$12$LdxPOuc9zDFz3W5cNwnGO.ZyDSOjlo3Fwxrnk8dZBRJ4RdxjXq7NW
818159489,Rose,Seat,roseseat@stonybrook.edu,CSE,Advanced Project Proficiency,Spring,2020,Fall,2020,Fall,2021,$2b$12$dgfFujROEcc9ufhl5qNZZeaBLUxBWIQj4XTPHBz4BEDRyXkUdxmiK
687146513,Blaine,Kendell,blainekendell@stonybrook.edu,ESE,Non-thesis,Spring,2021,Spring,2021,Fall,2022,$2b$12$r6C3rihSim1rsOmWOhbFJe1QT12zQAz29Sbg3MON.XFxc5Pv9uNya
944436199,Kenneth,Douglass,kennethdouglass@stonybrook.edu,AMS,Computational Biology,Fall,2019,Fall,2020,Spring,2021,$2b$12$j.caBNSeXZEddWZTbWWdqeD9PKQM/MbVI355KS2gwHnHWe7SfgVHW
659886133,Olive,Blankenship,oliveblankenship@stonybrook.edu,AMS,Computational Applied Mathematics,Spring,2018,Spring,2018,Fall,2019,$2b$12$xdNLt8TVofx5QU9TV9xRBOmT0SWntxTWnyWEHkhz4OJhpaV2HNITy
177634176,Sylvia,Schaefer,sylviaschaefer@stonybrook.edu,AMS,Computational Applied Mathematics,Spring,2020,Spring,2021,Fall,2021,$2b$12$lRd.LkFtjVHdbK/EXGlvsedt73kjSIc7Ebyfh.On8yA5KciyhIkm.
807261388,Aaron,Penwell,aaronpenwell@stonybrook.edu,CSE,Advanced Project,Spring,2018,Fall,2018,Fall,2019,$2b$12$YS6AfOBvx18DA14nJCM2J.CVD/fN5InyIQnoYhavA7vUwWks/c.EC
