sbu_id,first_name,last_name,email,department,track,entry_semester,entry_year,requirement_version_semester,requirement_version_year,graduation_semester,graduation_year,password
111623150,Cassey,Hu,casseyhu@stonybrook.edu,CSE,Advanced Project,Spring,2021,Spring,2022,Fall,2022,$2b$12$GkSgvEy.1Ska9SIvWWvwFOHl78UW5wpyqSmRVM/4P413.CCnliXh.
111645277,Sooyeon,Kim,sooyeonkim@stonybrook.edu,CSE,Special Project,Spring,2021,Spring,2021,Fall,2022,$2b$12$GXtbXQOOmijDWVsydUm3MOgvm6zRiHnLjt.GZpHngVPi5n4eQKJVW
112206686,Eddie,Xu,eddiexu@stonybrook.edu,CSE,Advanced Project,Spring,2021,Spring,2021,Fall,2022,$2b$12$1v842wRCdgdNLPO4Dk1mbOGSFEAGj777EFQtQ.gIatZLmnlRsts0q
111513756,Andrew,Kong,andrewkong@stonybrook.edu,CSE,Thesis,Spring,2021,Spring,2022,Fall,2022,$2b$12$Ce96MAnibAZfrge7aliBLuj2B4HLF1xUKafNMIAuKgFGrMx8IplZK
849000734,Florence,Froedge,florencefroedge@stonybrook.edu,AMS,Computational Applied Mathematics,Fall,2018,Fall,2018,Spring,2020,$2b$12$Of7v.ZOCr/eGRmpdhRTR8eF7Pbw.b0azi2RkyAq9WhtrCSbJ1vyIW
283954168,Candace,Justiniano,candacejustiniano@stonybrook.edu,CSE,Special Project,Spring,2018,Fall,2018,Fall,2019,$2b$12$vDKyJ9ZSQ2pMu0FFgYKUE.UQc0tS8RolPgF0O.eq3hb9FieorHS2G
203984190,Robert,Lira,robertlira@stonybrook.edu,CSE,Thesis,Spring,2021,Fall,2021,Fall,2022,$2b$12$P7zOHowsFy3aAU/Whe7rbezhyPLixaDWFUqv7l1biCpCxnTF.fKmC
150549838,Lamar,Anderson,lamaranderson@stonybrook.edu,ESE,Non-Thesis,Fall,2019,Fall,2020,Spring,2021,$2b$12$TLiaRarIwL1R5k12WUPIVu/kxc7ds38hTWjN4GdtsuOc6LFWIT2pC
962354850,Mary,Huff,maryhuff@stonybrook.edu,AMS,Operations Research,Fall,2019,Spring,2020,Spring,2021,$2b$12$mU/T/pU1uC/zhs4nJFYTI.xxElRZfla9i2uKZjO4/Qy2rlzMpihPi
455729683,Steven,Pickett,stevenpickett@stonybrook.edu,AMS,Computational Biology,Fall,2018,Fall,2019,Spring,2020,$2b$12$FKhAegJtP96UA4.FHXDYbOkqb/EcIYicDuFhskdPf5sTzuyKhYFme
