sbu_id,first_name,last_name,email,department,track,entry_semester,entry_year,requirement_version_semester,requirement_version_year,graduation_semester,graduation_year,password
442522286,Maureen,Newbold,maureennewbold@stonybrook.edu,CSE,Special Project,Spring,2020,Spring,2021,Fall,2021,$2b$12$cs0tQawjelxuQ5PTIaIBgehYH2sxKTvvmSZVHa7z4.J02q5d4WEFO
109245727,Mary,Friedlander,maryfriedlander@stonybrook.edu,BMI,Clinical Informatics With Project,Fall,2019,Fall,2019,Spring,2021,$2b$12$T6QfRRaZ7oW9kZ2iKb03G.xA6Ygot3ELOfz7VfLHz2qKVd1rok9t2
975483326,Shannon,Marx,shannonmarx@stonybrook.edu,ESE,Thesis,Spring,2019,Fall,2020,Fall,2020,$2b$12$UFiDWc57iSObzrqWsua8o.W00pYl1SFBKpGNpM7KRWHTXEWNloKni
213353572,Everett,Mclarty,everettmclarty@stonybrook.edu,CSE,Thesis,Fall,2020,Spring,2021,Spring,2022,$2b$12$O9lqtJJnSuCRKZi9lFC2q.g2FyCPGeCyDV4QghUZzLk6Xcwy.Mp.C
512776214,Robert,Smith,robertsmith@stonybrook.edu,CSE,Special Project,Spring,2020,Spring,2021,Fall,2021,$2b$12$8t0hnn.2l8q0pgfLIO6WdOdJCo7bzbfqbq9W9LsGItlPzc5ZFxs5.
366920424,Peter,Leonhardt,peterleonhardt@stonybrook.edu,BMI,Imaging Informatics With Project,Spring,2020,Spring,2021,Fall,2021,$2b$12$EdbkIuujvt0PvSkfxELBPeKWzdBroCw0D/yW0vlSV90yRen0VyvJG
613200341,Erlinda,Steele,erlindasteele@stonybrook.edu,CSE,Special Project,Fall,2019,Spring,2021,Spring,2021,$2b$12$4cl7HT0Jt9.C4LGB9cZaDexKx3eZzMGQCeBUTWTcLcKc27w6ldVni
453935758,Morgan,Greer,morgangreer@stonybrook.edu,ESE,Non-Thesis,Fall,2019,Fall,2019,Spring,2021,$2b$12$VlXPXAvnaaS8cbmBhzxvFuz8xW2A1mYOPWQkjmy2x1QzXpe7eB55S
772426982,Marie,Downs,mariedowns@stonybrook.edu,BMI,Imaging Informatics With Thesis,Spring,2019,Fall,2020,Fall,2020,$2b$12$aIlrRAj2dMAnm12frBJ29OrQ73HZGwgFPfTDWEan.AOcnyn.ebcdS
847006941,Alexander,Ferguson,alexanderferguson@stonybrook.edu,BMI,Translational Bioinformatics With Thesis,Spring,2020,Spring,2020,Fall,2021,$2b$12$8jayoyP3suH0n4W1pR1K6e1GHqQL2Gw/S852g/lDINktMXjH7izEi
